title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Zatrudnimy kadrową z doświadczeniem,Tarczyn,15 lutego 2018,410249175,Pełny etat,Umowa o pracę,  ,254
Staż w biurze rachunkowym,Czerwionka-Leszczyny,15 lutego 2018,371697551,Pełny etat,Inny,  ,2982
"PRACA/STAŻ, Księgowość-Finanse",Ropczyce,15 lutego 2018,415471021,Praktyka / staż,Inny,  ,79
Asystent ds. Administracji,Warszawa,15 lutego 2018,415475243,Pełny etat,Umowa zlecenie,  ,80
Praca Pośrednik rynku nieruchomości,Choszczno,15 lutego 2018,405499439,Pełny etat,Umowa o pracę,  ,1271
Zatrudnię samodzielnego księgowego/księgową do biura rachunkowego,Warszawa,15 lutego 2018,295293311,Pełny etat,Umowa o pracę,3 000  -  4 500 zł/mies.,3252
Specjalista ds. finansów,Kraków,15 lutego 2018,415489971,Pełny etat,Umowa o pracę,  ,33
Bank Zachodni WBK Doradca Klienta Police,Police,15 lutego 2018,352035620,Pełny etat,Umowa o pracę,  ,15
Samodzielna Księgowa,Gdańsk,15 lutego 2018,415488673,Pełny etat,Umowa o pracę,  ,12
Młodszy księgowy,Warszawa,14 lutego 2018,415282839,Pełny etat,Umowa o pracę,  ,184
"Specjalista ds księgowości, kadr i płac",Poznań,15 lutego 2018,415490767,Pełny etat,Umowa o pracę,  ,37
Bankier Klienta - Chojnice,Chojnice,15 lutego 2018,400610405,Pełny etat,Umowa o pracę,  ,1015
Sprzedawca Usług Finansowych- Łomianki,Łomianki,15 lutego 2018,385661281,Pełny etat,Umowa o pracę,  ,606
KADRY I PŁACE bezpłatny kurs dla osób 18-29 lat z orzecz! płatny staż,Poznań,15 lutego 2018,415428809,Praktyka / staż,Inny,  ,58
Kadrowa/y,Poznań,15 lutego 2018,415436863,Niepełny etat,Umowa zlecenie,  ,49
Starszy specjalista ds. podatków,Oświęcim,15 lutego 2018,410097759,Pełny etat,Umowa o pracę,  ,298
