title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Sprzedawca - salon UNISONO,Zielona Góra,15 lutego 2018,410489787,Pełny etat,Umowa zlecenie,  ,786
Zastępca Kierownika Sklepu - TXM Brzeg,Brzeg,15 lutego 2018,395385079,Pełny etat,Umowa o pracę,  ,1149
Kasjer-Sprzedawca,Rawicz,15 lutego 2018,415520323,Pełny etat,Umowa o pracę,2 500  -  3 000 zł/mies.,30
Pracownik w dziale Warzywa / Owoce Carrefour Kłodzko,Kłodzko,15 lutego 2018,400889685,Pełny etat,Umowa o pracę,  ,920
Sprzedawca w sklepie Gminnej Spółdzielni,Góra Kalwaria,15 lutego 2018,363086738,Pełny etat,Umowa o pracę,  ,816
"Zatrudnię ekspedientkę,sklep spożywczy Dąbrowa Górnicza /Strzemieszyce",Dąbrowa Górnicza,15 lutego 2018,400823133,Pełny etat,Umowa o pracę,  ,359
Pracownik Sklepu - Iława - Lidl Sp. z o.o. Sp. k,Iława,15 lutego 2018,415529475,Niepełny etat,Umowa o pracę,  ,19
Kierownik Sklepu Koronowo- Branża odzieżowa,Koronowo,15 lutego 2018,402675347,Pełny etat,Samozatrudnienie,  ,939
Pracownik stoiska wędliny/sery,Łódź,15 lutego 2018,410509843,Pełny etat,Umowa o pracę,  ,543
Alkohole 24H,Warszawa,15 lutego 2018,414837959,Pełny etat,Umowa o pracę,  ,223
Znana marka piekarnicza zatrudni ekspedientkę na pół etatu na BEMOWIE,Warszawa,15 lutego 2018,176293883,Niepełny etat,Umowa o pracę,17  -  20 zł/godz.,2499
"Opiekun Magazynu w JYSK, Brzeg (cały etat)",Brzeg,15 lutego 2018,379811943,Pełny etat,Umowa o pracę,  ,3327
Sprzedawca - Sklep Żabka w centrum Poznania,Poznań,15 lutego 2018,376216369,Pełny etat,Umowa o pracę,  ,1739
Zatrudnię ekspedientkę kasjerkę do sklepu spożywczego,Trzebinia,15 lutego 2018,368977164,Pełny etat,Umowa o pracę,  ,1144
Pracownik stoska wędliny/sery,Łódź,15 lutego 2018,410508487,Pełny etat,Umowa o pracę,  ,496
Zatrudnię sprzedawcę do sklepu meblowego,Żyrardów,15 lutego 2018,415315085,Pełny etat,Umowa o pracę,  ,41
Kasjer lub pracownik stoiska wędliny/sery,Żyrardów,15 lutego 2018,410478895,Pełny etat,Umowa o pracę,  ,549
Sprzedawca w sklepie ogrodniczym HORTICENTER.PL,Czernichów,15 lutego 2018,415285685,Pełny etat,Umowa o pracę,  ,15
Kasjer sprzedawca,Lublin,15 lutego 2018,387997841,Pełny etat,Umowa o pracę,2 000  -  2 200 zł/mies.,2563
Zatrudnię nad morzem w sklepie ogólnospożywczym,Chłopy,15 lutego 2018,415305477,Dodatkowa / sezonowa,Umowa o pracę,  ,16
"KASJERKA WEEKENDY mokotów 11zł/h na rękę, 200m od stacji metra wierzbn",Warszawa,15 lutego 2018,228217733,Niepełny etat,Umowa zlecenie,3 000  -  3 400 zł/mies.,10506
Sprzedawca Salon Coccodrillo Wrocław Pasaż,Wrocław,15 lutego 2018,415118039,Pełny etat,Umowa o pracę,  ,37
Sprzedawca,Mszana Dolna,15 lutego 2018,381166051,Pełny etat,Umowa o pracę,  ,1136
